id,title,fulltitle,thumbnail,description,duration,view_count,like_count,average_rating,comment_count,channel_id,channel,channel_follower_count,uploader,uploader_id,availability,live_status,is_live,was_live,age_limit,_has_drm,_type,whisper_lang,whisper_probability,accessible_in_youtube_music,related_to,release_year,upload_date,categories,tags,chapters,automatic_captions,subtitles,release_date,album,artist,track
xvfvZ-c0y2s,Tomate - Barón,Tomate - Barón,https://i.ytimg.com/vi/xvfvZ-c0y2s/sddefault.jpg,,192,266,0,,,UC_QDc486Kx4r9RAgBBabOzw,SemillasEmilioSRL,27,SemillasEmilioSRL,@SemillasEmilioSRL,public,not_live,False,False,0,,video,es,0.9755,FALSE,0,,8/3/2011,Science & Technology,"[""semillas"", ""emilio"", ""tomate"", ""baron"", ""argentina"", ""hortalizas"", ""agricultura"", ""agronomia"", ""horticultura"", ""frutas"", ""verduras""]",null,"[""es-orig""]",[],,,,
mDZFZ-IKZT4,23 de noviembre de 2023,23 de noviembre de 2023,https://i.ytimg.com/vi/mDZFZ-IKZT4/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYfyAhKEYwDw==&rs=AOn4CLBzSNB8SCMKIt0pyarb3WJQVvdTMQ,,15,17,0,,,UCg5hV_jQNu1whAPqsvd4EPg,Mirta Ovejero,,Mirta Ovejero,@MirtaOvejero-yp5ku,public,not_live,False,False,0,,video,es,0.9569,FALSE,0,,11/23/2023,People & Blogs,[],null,"[""ro-orig""]",[],,,,
JhuBb-uZat0,Juego un juego,Juego un juego,https://i.ytimg.com/vi/JhuBb-uZat0/maxresdefault.jpg,,534,21,2,,,UCjGK6MlEPQYCXMRI7yphjeQ,Norberto Bellino,4,Norberto Bellino,@norbertobellino6176,public,not_live,False,False,0,,video,es,0.9939,FALSE,0,,1/1/2020,People & Blogs,[],null,"[""es-orig""]",[],,,,
xOTtp-vM8Xo,nachi nachi gettho.......black screen status.....#nacchinacchigettho    #blackscreenstatus,nachi nachi gettho.......black screen status.....#nacchinacchigettho    #blackscreenstatus,https://i.ytimg.com/vi/xOTtp-vM8Xo/maxresdefault.jpg,"new song on black screen❤❤... 
new wp status.. 
new ❤song with",37,38,14,,,UC5Db9bRY4A9NNLSoc_JqjaA,Anshuman Official Status,59,Anshuman Official Status,@hackertechanshu098,public,not_live,False,False,0,,video,es,0.9703,FALSE,0,,12/12/2021,People & Blogs,[],null,[],[],,,,
wvsro-43aKE,Programa con Alberto Savazzini y Patricia Soprano.,Programa con Alberto Savazzini y Patricia Soprano.,https://i.ytimg.com/vi/wvsro-43aKE/maxresdefault.jpg,Programa con Alberto Savazzini y Patricia Soprano.,3837,67,7,,,UCOYwJZF51ip31TI0rMADJ9w,Corazones Provida,697,Corazones Provida,@corazonesprovida4995,public,was_live,False,True,0,,video,es,0.9786,FALSE,0,2021,7/13/2021,Entertainment,[],null,"[""es-orig""]","[""live_chat""]",20210713,,,
eozzc-K7X7g,mi sobrino pueda ver la virgen de Talpa caminando 🚶🚶,mi sobrino pueda ver la virgen de Talpa caminando 🚶🚶,https://i.ytimg.com/vi/eozzc-K7X7g/maxresdefault.jpg,,90,35,0,,,UCd6FWS-MV7j4aeg_hu_VYEg,Jose Guadalupe Contreras Rivera,2,Jose Guadalupe Contreras Rivera,@joseguadalupecontrerasrive7513,public,not_live,False,False,0,,video,es,0.7706,FALSE,0,,4/9/2023,People & Blogs,[],null,[],[],,,,
CnDYo-9OvXE,🇫🇮🤠,🇫🇮🤠,https://i.ytimg.com/vi/CnDYo-9OvXE/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYYCBlKFkwDw==&rs=AOn4CLDZ74fErJXVpSQ8dzdA1F6NYEJX4g,,23,3,0,,,UCwQSRR1W_9tr1awIm8fA9Sw,miguel romero,77,miguel romero,@Mikeromero42,public,not_live,False,False,0,,video,es,0.9962,FALSE,0,,11/15/2023,People & Blogs,[],null,[],[],,,,
OkPzM-jfurg,Los Ángeles 13 y la under side de Monterrey Nuevo León,Los Ángeles 13 y la under side de Monterrey Nuevo León,https://i.ytimg.com/vi/OkPzM-jfurg/maxresdefault.jpg,,188,179,4,,,UCezpoehga4XjRCdud7QW8Iw,Manzanito tv,960,Manzanito tv,@manzanitotv,public,not_live,False,False,0,,video,es,0.9003,FALSE,0,,10/17/2021,Gaming,[],null,"[""es-orig""]",[],,,,
DvwYO-7ugR8,19 de abril de 2024,19 de abril de 2024,https://i.ytimg.com/vi/DvwYO-7ugR8/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBlKGUwDw==&rs=AOn4CLAeGF00_KNKGC_5NJZPxfTRUFKXKg,,6,7,0,,,UCkDSceBKtgKSIenXC0H-3Nw,Isabella Correa,10,Isabella Correa,@user-yf7xk2sl2t,public,not_live,False,False,0,,video,es,0.9841,FALSE,0,,4/20/2024,People & Blogs,[],null,"[""es-orig""]",[],,,,
rUqSM-3_YJA,Futuro Reciente / Canal 20 / El Uruguay del Futuro / Parte 2,Futuro Reciente / Canal 20 / El Uruguay del Futuro / Parte 2,https://i.ytimg.com/vi/rUqSM-3_YJA/hqdefault.jpg,"""Futuro reciente"" es un ciclo de entrevistas realizadas por Gerardo Sotelo a importantes personalidades del Uruguay en proyección a los próximos años, que se emitió por Canal 20 de Uruguay.

Entrevistado: Carlos Maggi. Abogado, escritor, periodista y dramaturgo uruguayo. Escribió obras teatrales muy importantes para la historia del teatro nacional como: ""La trastienda"", ""La Biblioteca"", ""La noche de los ángeles inciertos"",  ""El patio de la torcaza"", y ""Frutos"". Ganó en seis oportunidades el premio a la mejor obra de teatro nacional estrenada en Uruguay. Escribió y dirigió el cortometraje ""La raya amarilla"", que ganó el Gran Premio del Festival de Bruselas en 1964. Sus notas periodísticas de Marcha y El País continúan teniendo gran repercusión.

...

www.canal20.com.uy
www.facebook.com/CanalVeinteUY
@canal20tv",706,128,0,,,UCN4gGanv9LFboh8If9PPVdw,Canal 20,3890,Canal 20,@Canal20Uruguay,public,not_live,False,False,0,,video,es,0.9998,FALSE,0,,2/2/2011,People & Blogs,"[""La Biblioteca"", ""El patio de la torcaza"", ""y Frutos La raya amarilla""]",null,[],[],,,,
